user_id,signup_date,first_purchase_date,avg_spin_amt,rtp_ratio,ggr_amt,logins_first_96h,total_bet_txn,max_purchase_amt_horly,max_redeem_amt_hourly,sum_redeem_txn,cnt_txn_total,sum_spin_sc,sum_spin_cc,max_eod_sc_balance,sum_bonus_wheel,sum_bonus_plinko,sum_offer_amt,sum_bonus_amt,sum_daily_mission,sum_leaderboard_reward,first_purchase_amt,days_of_activity,max_bet_amt,min_bet_amount,max_win_amt,avg_rounds_bet,avg_bet_amt,max_daily_games_unique,sum_bonus_promotion_bet_amount,signup_email_domain_gmail,signup_email_domain_icloud,signup_email_domain_other,signup_email_domain_privaterelay,signup_email_domain_yahoo,channel_app,channel_facebook,channel_google,channel_invite friend,channel_other,channel_sidelines,first_geo_region_california,first_geo_region_florida,first_geo_region_georgia,first_geo_region_illinois,first_geo_region_other,first_geo_region_texas,signup_platform_app,signup_platform_web,ln_total_bet_amt,ln_total_win_amt_sc,ln_total_win_amt_cc,ln_sum_redeem_amt,ln_sum_amt_total,ln_sum_sc_coin_total,time_diff_minutes,probability_positive_class,potential_vip_ind
925770,2024-09-24 03:08:58.642000+00:00,2024-09-27 04:14:07.340000+00:00,16.328,0.635,-970.0,5,163,604.92,0.0,0,17,3,0,2.0,0.0,5.499999999999999,44.99,59.0,0.0,0.0,99.99,2.0,125.0,0.2,300.6,81.5,1330.6999999999998,14.0,241.85,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,7.8864572709777265,7.433075348898639,-23.025850929940457,-23.025850929940457,6.8176445585312955,6.857514062545495,73.08574944444443,,0
936389,2024-09-25 22:32:41.408000+00:00,2024-09-25 22:38:15.481000+00:00,2.114,0.953,-783.0,32,7906,179.91,0.0,0,39,29,4,10.11,0.25,0.0,40.98,123.0,31.0,0.0,4.99,5.0,120.0,0.1,652.24,1581.2,3342.237999999998,53.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,9.723822464203389,9.67583384574404,17.903660137511554,-23.025850929940457,6.4931636505958235,6.568077911412116,0.09279805555555555,0.9602039,1
911070,2024-09-21 15:50:08.919000+00:00,2024-09-25 23:11:20.176000+00:00,12.89,0.845,-1504.0,12,751,935.94,0.0,0,15,6,0,904.2,0.5,0.0,51.980000000000004,88.0,0.0,0.0,15.99,1.0,500.0,0.2,1110.75,375.5,4840.3,13.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,9.177920480720083,9.008958312443498,-23.025850929940457,-23.025850929940457,7.256191376642149,7.29097477814305,103.35312694444444,,0
954615,2024-09-28 08:56:28.541000+00:00,2024-09-28 09:00:38.829000+00:00,1.872,0.842,-531.0,14,1799,121.97,0.0,0,10,14,0,112.65,0.25,15.499999999999995,123.96000000000001,89.0,0.0,3.0,19.99,2.0,100.0,0.05,250.0,927.0,1735.6750000000002,21.0,843.5400000000001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,8.122074375362248,7.950502434808887,-23.025850929940457,-23.025850929940457,6.202333067546782,6.313548046277276,0.06952444444444444,0.90430176,1
941732,2024-09-26 18:36:47.773000+00:00,2024-09-26 18:52:28.219000+00:00,0.852,0.939,-911.0,35,17488,169.97,0.0,0,32,35,0,278.77,1.5,0.0,0.0,95.0,5.0,15.0,4.99,4.0,300.0,0.2,606.0,4372.0,3723.637499999999,24.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,9.60878086514739,9.545669097895324,-23.025850929940457,-23.025850929940457,6.702795398101679,6.744059186311465,0.261235,0.9708937,1
932104,2024-09-25 03:56:41.559000+00:00,2024-09-25 04:01:22.918000+00:00,0.438,1.145,150.0,26,2366,49.99,200.0,3,14,16,8,0.23,0.25,0.0,25.99,65.0,2.0,0.0,19.99,4.0,30.0,0.1,198.16,592.5,259.27500000000003,10.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,6.943122422819525,7.079184394609753,15.558032512976784,6.104793232415209,5.4418114661871995,5.48479693349107,0.07815527777777777,,0
930287,2024-09-24 22:28:02.869000+00:00,2024-09-24 22:30:20.300000+00:00,2.76,0.991,-79.0,21,3137,134.99,0.0,0,7,18,0,125.7,0.0,5.000000000000003,212.97000000000003,117.0,2.0,15.0,23.99,5.0,200.0,0.1,731.8,588.3333333333334,1508.2666666666664,5.0,1346.5000000000002,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,9.066123521215784,9.056839480990433,-23.025850929940457,-23.025850929940457,6.137575854751439,6.246106765481756,0.03817527777777778,,0
931206,2024-09-25 01:22:13.309000+00:00,2024-09-25 04:08:35.781000+00:00,0.58,1.004,13.0,26,5698,79.97,406.0,1,22,24,1,10.11,0.25,0.0,54.980000000000004,51.0,0.0,0.0,9.99,4.0,100.0,0.1,217.3,1424.5,826.1000000000001,8.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,8.102889134640899,8.106816038947082,10.085809109330087,6.006353159601979,5.828298349354063,5.934894195619852,2.772908888888889,0.9464617,1
922060,2024-09-23 13:14:58.787000+00:00,2024-09-24 15:20:21.024000+00:00,0.992,0.888,-2532.0,54,22756,399.96,500.0,3,45,52,5,111.56,0.0,5.3000000000000025,517.96,309.0,12.0,25.0,19.99,5.0,4.5,0.1,307.8,4283.666666666666,4264.191666666667,50.0,3824.1000000000004,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,10.024731259821497,9.905784911584817,16.596203849280567,6.907755278982237,8.124905873573809,8.174139343429498,26.089510277777777,0.9957898,1
946210,2024-09-27 09:09:15.603000+00:00,2024-09-27 09:13:52.192000+00:00,22.484,1.007,483.0,35,3205,150.97,0.0,0,4,33,0,7742.78,0.25,0.0,50.98,327.0,0.0,150.0,23.99,3.0,400.0,0.2,5871.1,1078.3333333333333,24800.08333333333,32.0,51717.63,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,11.185254384302086,11.191934768474708,-23.025850929940457,-23.025850929940457,5.525293563882821,5.703782474656534,0.07683027777777778,,0
